	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t50	t50	t50	t90	t90	t90
eco_gcs1_t07854	2.744414854	13.91631377	4.26786222	2.619580758	3.246685872	12.57724571	5.799999495	3.883321291	11.91322128	7.656774691	9.039367775	10.96020209	6.161609459	18.07505351	8.39146062	36.00445807	11.66881183	7.217582257
eco_gcs1_t08519	15.3439908	14.31683942	13.71346	11.74224459	9.541446166	13.01920569	12.0544815	9.266996178	8.769187666	9.507164018	4.9811984	10.29001264	7.917454826	9.424352623	8.181645894	17.26451452	9.033544355	10.01094191
eco_gcs1_t11096	4.981880274	12.11600123	4.451982814	3.479532733	5.374320703	11.3518135	4.820674237	3.78955182	4.990659424	4.784875733	3.211428852	4.022255239	4.005355649	4.34913354	6.468025415	8.500552497	4.607726611	3.481325408
eco_gcs1_t10722	85.98137893	63.37858434	46.22664153	85.74601418	69.16771934	32.48599318	104.142341	50.91261552	56.53424729	98.6498021	46.78613581	64.14633414	92.74567938	59.84340095	55.95874715	124.656085	59.14396103	68.84173211
eco_gcs1_t05243	155.8206466	113.1215038	134.3697245	170.1757754	168.9033796	150.984177	185.3355233	169.9620728	186.4716003	220.2348039	199.7942816	219.7173386	258.1078998	197.4625743	234.3691831	397.862688	351.5049577	457.3894488
eco_gcs1_t07367	4.988880309	3.891350573	4.571681874	4.92322944	5.170552072	9.743862378	4.74792852	5.05978859	5.02962828	4.385201935	3.437986945	5.225090232	6.01496645	3.973157606	5.143290138	6.587178346	6.615507763	5.653979012
eco_gcs1_t07577	25.94516148	31.67894213	28.33194091	25.23221769	31.89433798	30.90112014	31.57495052	31.57298661	27.50904517	29.69849256	34.67133399	34.13613042	31.91876851	35.03763265	29.89330836	40.21825543	25.80321666	29.63090206
eco_gcs1_t06552	37.66108	27.07345243	22.351504	57.81817482	52.98058754	31.64304986	69.4842204	57.35102572	50.63803573	70.01492877	57.31061886	44.10965402	72.60391657	57.0362228	41.18724666	19.47478876	20.7402689	16.71599618
eco_gcs1_t06368	13.48567221	9.045121208	8.976883104	18.17900018	15.80471539	6.96522106	19.1282846	15.57417658	10.46864491	19.76156143	10.13522006	11.55151058	21.08262957	11.6650859	9.921115464	22.4657877	19.16969316	17.04655038
eco_gcs1_t02398	276.6770728	250.3483086	171.9588208	284.8632188	277.7761868	156.9600575	312.8475268	241.3053435	191.1015602	340.5850205	240.372125	211.1599562	340.4595263	204.7353752	191.1938252	340.2130636	279.3227221	265.9238976
eco_gcs1_t01498	102.0610976	92.83989783	102.8331575	95.91067553	93.5522458	63.64343356	78.66132434	69.57207143	60.26980152	71.65959903	60.06932943	67.2314702	80.40682113	57.03169709	71.50175497	127.8797559	168.0299899	144.6734922
eco_gcs1_t08320	5.612858894	11.31946831	7.008931039	5.171361193	7.313843789	20.27461287	7.435251886	6.056011767	8.639266385	7.235213492	4.008890409	8.718473488	8.468926835	9.509538561	10.46138193	20.42346802	7.972238653	7.15788903
eco_gcs1_t07874	2753.972616	2544.887747	2648.29432	2231.623586	2243.189301	1775.502068	2131.794191	1704.067047	1602.752343	2124.092335	1934.443496	1750.854096	2601.056944	1666.626754	2090.497811	1845.165961	1754.35637	1668.850667
eco_gcs1_t00068	221.8637803	182.307017	110.2222692	151.2827118	158.7810593	75.8240388	112.6428183	92.37597478	72.10956428	78.86774828	61.74997939	54.80476884	73.49476557	54.19922807	39.35027219	42.13571402	30.42401633	43.2896714
eco_gcs1_t06064	17.58486249	20.51905272	17.81247505	19.46949004	21.32431816	26.84778755	23.91676955	20.16997675	26.01049453	26.6284015	26.75450502	29.29858288	31.19941708	30.81813265	32.06998506	36.29051199	35.49720872	36.04075103
eco_gcs1_t01439	106.3079791	106.5261647	58.58651051	143.6816601	220.0552717	78.83764999	118.0348234	209.9541592	76.4011696	90.22114986	155.0160854	55.32628667	97.24072833	110.7729707	52.08396821	17.76106328	44.09074328	24.27959412
eco_gcs1_t02205	828.5262956	667.6956954	737.2297178	845.4600402	749.5450828	604.0522286	709.784211	859.1728808	640.367256	698.4985896	907.9941083	751.5261379	976.1404041	680.09194	743.4252629	545.2893772	653.8064552	626.9479426
eco_gcs1_t08250	4.058176131	4.267750003	4.159479227	2.872199197	2.48330172	9.27328528	8.247038242	2.918247919	11.10916746	3.943737638	5.105080313	2.95863317	4.049948092	4.449041085	2.917533156	7.166431809	6.342967301	2.824329643
eco_gcs1_t05269	75.21458723	55.90256264	60.89390689	71.78729444	59.96681417	39.49872778	66.07939549	44.04354255	42.48437648	60.48937993	29.11424046	41.92191655	58.11723219	36.80696329	39.71109636	50.26394891	45.12114776	61.03948194
eco_gcs1_t09105	17.42253414	20.65633234	16.36759555	16.95868558	18.89120371	28.40812925	18.85864949	11.60372826	14.94733757	20.27185489	10.94461824	15.06469462	16.66960714	11.42365725	22.59976099	25.4716406	18.62973266	17.00740855
eco_gcs1_t05494	654.9128894	492.645687	759.5427347	495.0523506	572.8207317	521.0379081	401.0572279	416.4670218	381.6679331	318.2742874	448.1740397	372.1789035	292.4927693	328.2938002	375.6569817	270.7154352	414.2457217	415.5640791
eco_gcs1_t08492	9.232712809	7.255017389	7.230012955	26.53277569	25.15018576	18.01090249	31.85344555	37.14470693	29.0676481	31.55942583	25.19079875	21.42223692	20.93500219	28.41823687	15.06334556	5.006186821	4.294709552	3.348965752
eco_gcs1_t04416	96.84520208	81.4567756	133.8054375	92.36976505	98.51492978	104.8449717	94.14927294	117.4114279	113.6936089	79.38067913	105.1258666	101.9988293	87.48907776	102.6733882	114.7961097	31.94859855	58.27825688	65.3549905
eco_gcs1_t09837	35.4233327	36.02509295	31.76325071	32.27251863	33.08621213	28.10251542	19.44793535	22.53931132	25.52564363	12.30516369	15.85543044	14.93566213	10.57696079	15.3033357	7.674635423	17.75577153	6.33364835	6.499358643
eco_gcs1_t03178	21.61285858	13.5575263	10.98814347	25.15156774	23.22731302	9.335179927	29.86138296	14.55010465	9.705999966	30.22699781	14.22737725	14.81497983	31.61007252	16.77978232	11.52815435	19.7504857	17.25216961	13.56313289
eco_gcs1_t02820	60.19951189	36.66869094	34.70141031	144.722456	110.1563814	69.81488797	207.4120659	163.8008507	142.6442723	210.2143386	127.1910722	129.3095283	168.4096255	132.9491125	95.2021503	51.9989048	51.55501663	43.10933143
eco_gcs1_t00401	140.5266626	118.1411418	169.3721281	154.543959	155.9735943	155.7324284	167.5693743	187.638596	190.5365376	152.5525322	186.6740711	186.9617181	170.1666886	174.8550482	190.9234714	233.5343396	347.8850663	341.5496759
eco_gcs1_t02703	328.0159282	273.6828642	453.1123965	219.9436419	220.9751057	305.9014252	159.898581	275.7939893	314.1481417	133.287942	256.9200003	212.7902593	126.1447513	148.8730933	253.931262	42.51878626	121.334046	106.4717827
eco_gcs1_t07961	48.37484562	42.22517448	50.72049778	67.43519682	113.4478044	76.53245113	79.49500979	85.67141821	96.61475879	78.03923938	90.59513275	84.47607845	94.39985225	95.782459	95.20820311	309.2174896	371.3792615	327.4327359
eco_gcs1_t08735	10493.52038	8580.966962	25481.34733	10674.98422	10787.94839	17826.3365	11113.14693	29242.71141	29229.89541	11129.11487	31618.43968	31641.57509	13087.82364	39009.33158	35118.69789	8072.347753	34181.0276	27565.44948
eco_gcs1_t11985	5.965286328	23.92709777	9.965586484	6.398326689	11.13446993	26.21283503	11.82271518	6.724632005	15.56187942	11.29241581	15.78624719	14.17527694	12.07228899	16.08139756	18.59454084	30.45020395	18.5531077	14.51872806
eco_gcs1_t05644	2932.860037	2120.527853	2634.989657	2156.259301	1767.471804	1501.768119	1309.683962	1511.576268	1272.182965	1192.544993	1128.726647	882.1411407	915.6250096	808.617052	708.4782964	229.4597884	364.2167772	277.8453544
eco_gcs1_t08485	585.3699256	381.5954185	644.7898203	889.1053491	782.8508135	826.8823945	841.5195528	1159.324567	976.316842	801.6427029	1012.912975	880.1183372	701.5931377	874.2741783	759.7478565	384.2642376	611.2252141	519.4275008
eco_gcs1_t11535	30.09334897	49.62373539	31.76060462	27.8725681	32.60749564	48.22588625	30.38333842	22.00292777	26.04914269	27.40759898	27.40857339	26.24844121	28.73593849	27.82736743	32.4622793	43.53339341	39.37501303	28.4154507
eco_gcs1_t04731	7.088482111	6.062161341	4.61576726	8.01505412	7.293490205	8.944280715	8.098782746	4.273501404	3.898214554	4.996324182	3.835081832	4.15866176	5.020745716	3.532815337	3.084443591	4.382267641	3.17653381	3.710516446
eco_gcs1_t11736	7476.585413	5710.409335	6357.11142	9359.56553	8643.186544	6718.09034	9533.472126	9134.436666	9307.465209	8359.477903	9493.039309	7582.746318	5725.535287	5768.243102	4261.231033	624.9205496	717.5263896	664.7597065
eco_gcs1_t02974	2.181776598	0.633098979	2.010975526	1.871456096	1.328288513	0.5475299	1.262133608	3.236775464	1.856368533	1.132145605	3.596218358	2.069874746	1.403838849	1.631346926	1.901683845	1.176152659	17.3466027	53.44455169
eco_gcs1_t04596	27876.82275	17066.05777	28228.19569	27216.58272	21976.01944	20183.29998	25718.9685	27790.17562	28515.275	27065.38619	32104.34048	27611.11985	27201.23452	29856.45445	28195.12325	18147.97787	36196.74077	28016.51641
eco_gcs1_t01218	5.694130063	7.791052199	4.636513558	7.366256372	7.644281833	14.90092956	8.730915977	4.940728936	7.147617688	8.717845352	5.161875565	7.14397572	10.24422699	6.516620451	9.462561002	12.01057317	8.832260848	7.010060024
eco_gcs1_t05687	2.151556607	3.221105594	2.443272777	1.940546949	1.766384563	1.97284959	2.832568902	2.537896723	1.969925886	2.515728398	3.176539418	3.460244904	2.161848683	3.300270235	1.993585106	4.657603969	2.745393907	3.54306822
eco_gcs1_t11611	257.2159984	187.063971	242.5254046	245.6567631	225.0654342	181.5850837	187.49315	238.4742285	187.7817482	184.9544065	254.1984478	191.7094118	203.696899	243.7155272	209.3157509	219.4849476	519.5947163	323.8815433
eco_gcs1_t09204	2.924420049	0.972765257	5.188286761	4.560187645	2.460029561	1.877340546	2.892024615	4.382345525	11.1537724	3.803950524	3.877655692	9.495264088	5.088315723	4.505484152	10.05299383	5.245581897	7.535972642	18.55969933
eco_gcs1_t03692	98.04073312	74.65640007	85.56622743	146.9931318	124.6269189	81.18350008	149.6144676	137.3594794	119.9542497	149.8395849	140.5234159	131.1898385	158.4796726	140.3857243	149.2801673	109.9536756	143.9285441	121.796227
eco_gcs1_t09968	2957.771108	2297.005748	3010.502932	4018.621551	3235.973152	3507.610356	4552.187284	4941.365589	4797.554984	4044.991436	5833.365198	5404.128794	4915.356034	5959.465996	5460.191792	1744.487197	1868.170125	2248.880736
